BB-rel+ner-1016123	0-2	An	DT	An	B-NP	O
BB-rel+ner-1016123	3-13	evaluation	NN	evaluation	I-NP	O
BB-rel+ner-1016123	14-16	of	IN	of	B-PP	O
BB-rel+ner-1016123	17-26	selective	JJ	selective	B-NP	O
BB-rel+ner-1016123	27-33	broths	NNS	broth	I-NP	O
BB-rel+ner-1016123	34-39	based	VBN	base	B-PP	O
BB-rel+ner-1016123	40-42	on	IN	on	B-PP	O
BB-rel+ner-1016123	43-46	the	DT	the	B-NP	O
BB-rel+ner-1016123	47-58	bi-selenite	JJ	bi-selenite	I-NP	O
BB-rel+ner-1016123	59-62	ion	NN	ion	I-NP	O
BB-rel+ner-1016123	63-66	and	CC	and	B-PP	O
BB-rel+ner-1016123	67-69	on	IN	on	B-PP	O
BB-rel+ner-1016123	70-80	hypertonic	JJ	hypertonic	B-NP	O
BB-rel+ner-1016123	81-90	strontium	NN	strontium	I-NP	O
BB-rel+ner-1016123	91-99	chloride	NN	chloride	I-NP	O
BB-rel+ner-1016123	100-102	in	IN	in	B-PP	O
BB-rel+ner-1016123	103-114	Salmonellae	NNP	Salmonellae	B-NP	O
BB-rel+ner-1016123	115-124	detection	NN	detection	I-NP	O
BB-rel+ner-1016123	125-127	in	IN	in	B-PP	O
BB-rel+ner-1016123	128-131	egg	NN	egg	B-NP	B-protein
BB-rel+ner-1016123	132-140	products	NNS	product	I-NP	I-protein
BB-rel+ner-1016123	140-141	.	.	.	O	O
BB-rel+ner-1016123	142-144	Of	IN	Of	B-PP	O
BB-rel+ner-1016123	145-148	the	DT	the	B-NP	O
BB-rel+ner-1016123	149-152	104	CD	104	I-NP	O
BB-rel+ner-1016123	153-163	isolations	NNS	isolation	I-NP	O
BB-rel+ner-1016123	164-166	of	IN	of	B-PP	O
BB-rel+ner-1016123	167-177	Salmonella	NN	Salmonella	B-NP	B-protein
BB-rel+ner-1016123	178-180	sp	NN	sp	I-NP	I-protein
BB-rel+ner-1016123	180-181	.	.	.	O	O
BB-rel+ner-1016123	182-186	from	IN	from	B-PP	O
BB-rel+ner-1016123	187-190	egg	NN	egg	B-NP	O
BB-rel+ner-1016123	191-195	pulp	NN	pulp	I-NP	O
BB-rel+ner-1016123	195-196	,	,	,	O	O
BB-rel+ner-1016123	197-199	97	CD	97	B-NP	O
BB-rel+ner-1016123	200-204	were	VBD	be	B-VP	O
BB-rel+ner-1016123	205-213	obtained	VBN	obtain	I-VP	O
BB-rel+ner-1016123	214-218	from	IN	from	B-PP	O
BB-rel+ner-1016123	219-228	strontium	NN	strontium	B-NP	O
BB-rel+ner-1016123	229-237	chloride	NN	chloride	I-NP	O
BB-rel+ner-1016123	238-239	M	NN	M	I-NP	O
BB-rel+ner-1016123	240-245	broth	NN	broth	I-NP	O
BB-rel+ner-1016123	245-246	,	,	,	O	O
BB-rel+ner-1016123	247-249	42	CD	42	B-NP	O
BB-rel+ner-1016123	250-254	from	IN	from	B-PP	O
BB-rel+ner-1016123	255-264	strontium	NN	strontium	B-NP	O
BB-rel+ner-1016123	265-273	selenite	NN	selenite	I-NP	O
BB-rel+ner-1016123	274-279	broth	NN	broth	I-NP	O
BB-rel+ner-1016123	280-283	and	CC	and	O	O
BB-rel+ner-1016123	284-286	57	CD	57	B-NP	O
BB-rel+ner-1016123	287-291	from	IN	from	B-PP	O
BB-rel+ner-1016123	292-301	strontium	NN	strontium	B-NP	O
BB-rel+ner-1016123	302-310	selenite	NN	selenite	I-NP	O
BB-rel+ner-1016123	311-312	A	NN	A	I-NP	O
BB-rel+ner-1016123	313-318	broth	NN	broth	I-NP	O
BB-rel+ner-1016123	318-319	.	.	.	O	O
BB-rel+ner-1016123	320-323	The	DT	The	B-NP	O
BB-rel+ner-1016123	324-331	results	NNS	result	I-NP	O
BB-rel+ner-1016123	332-339	suggest	VBP	suggest	B-VP	O
BB-rel+ner-1016123	340-344	that	IN	that	B-SBAR	O
BB-rel+ner-1016123	345-348	the	DT	the	B-NP	O
BB-rel+ner-1016123	349-354	first	JJ	first	I-NP	O
BB-rel+ner-1016123	355-361	medium	NN	medium	I-NP	O
BB-rel+ner-1016123	362-365	may	MD	may	B-VP	O
BB-rel+ner-1016123	366-368	be	VB	be	I-VP	O
BB-rel+ner-1016123	369-373	used	VBN	use	I-VP	O
BB-rel+ner-1016123	374-378	more	RBR	more	B-ADVP	O
BB-rel+ner-1016123	379-391	successfully	RB	successfully	I-ADVP	O
BB-rel+ner-1016123	392-396	than	IN	than	B-PP	O
BB-rel+ner-1016123	397-408	bi-selenite	JJ	bi-selenite	B-NP	O
BB-rel+ner-1016123	409-414	based	VBN	base	I-NP	O
BB-rel+ner-1016123	415-420	media	NNS	medium	I-NP	O
BB-rel+ner-1016123	421-424	for	IN	for	B-PP	O
BB-rel+ner-1016123	425-435	enrichment	NN	enrichment	B-NP	O
BB-rel+ner-1016123	436-439	and	CC	and	O	O
BB-rel+ner-1016123	440-450	subsequent	JJ	subsequent	B-NP	O
BB-rel+ner-1016123	451-460	detection	NN	detection	I-NP	O
BB-rel+ner-1016123	461-463	of	IN	of	B-PP	O
BB-rel+ner-1016123	464-475	salmonellae	NN	salmonellae	B-NP	O
BB-rel+ner-1016123	476-478	in	IN	in	B-PP	O
BB-rel+ner-1016123	479-482	egg	NN	egg	B-NP	O
BB-rel+ner-1016123	483-491	products	NNS	product	I-NP	O
BB-rel+ner-1016123	491-492	;	:	;	O	O
BB-rel+ner-1016123	493-500	however	RB	however	B-ADVP	O
BB-rel+ner-1016123	500-501	,	,	,	O	O
BB-rel+ner-1016123	502-505	the	DT	the	B-NP	O
BB-rel+ner-1016123	506-512	growth	NN	growth	I-NP	O
BB-rel+ner-1016123	513-515	of	IN	of	B-PP	O
BB-rel+ner-1016123	516-517	S	NN	S	B-NP	O
BB-rel+ner-1016123	517-518	.	.	.	O	O
BB-rel+ner-1016123	519-527	pullorum	NN	pullorum	B-NP	O
BB-rel+ner-1016123	528-531	was	VBD	be	B-VP	O
BB-rel+ner-1016123	532-535	not	RB	not	O	O
BB-rel+ner-1016123	536-548	satisfactory	JJ	satisfactory	B-ADJP	O
BB-rel+ner-1016123	549-551	in	IN	in	B-PP	O
BB-rel+ner-1016123	552-561	strontium	NN	strontium	B-NP	O
BB-rel+ner-1016123	562-570	chloride	NN	chloride	I-NP	O
BB-rel+ner-1016123	571-572	M	NN	M	I-NP	O
BB-rel+ner-1016123	573-578	broth	NN	broth	I-NP	O
BB-rel+ner-1016123	578-579	.	.	.	O	O
BB-rel+ner-10492485	0-11	Application	NN	Application	B-NP	O
BB-rel+ner-10492485	12-14	of	IN	of	B-PP	O
BB-rel+ner-10492485	15-20	ozone	NN	ozone	B-NP	O
BB-rel+ner-10492485	21-24	for	IN	for	B-PP	O
BB-rel+ner-10492485	25-34	enhancing	VBG	enhance	B-VP	O
BB-rel+ner-10492485	35-38	the	DT	the	B-NP	O
BB-rel+ner-10492485	39-54	microbiological	JJ	microbiological	I-NP	O
BB-rel+ner-10492485	55-61	safety	NN	safety	I-NP	O
BB-rel+ner-10492485	62-65	and	CC	and	I-NP	O
BB-rel+ner-10492485	66-73	quality	NN	quality	I-NP	O
BB-rel+ner-10492485	74-76	of	IN	of	B-PP	O
BB-rel+ner-10492485	77-82	foods	NNS	food	B-NP	O
BB-rel+ner-10492485	82-83	:	:	:	O	O
BB-rel+ner-10492485	84-85	a	DT	a	B-NP	O
